"","STATION","LINE","Type_1","TCI_Data","Job_Data","Time_Data","Walk_data","ResRent_Da","CommRent_D"
"1","Rosemont","Paoli/Thorndale Line","Town Neighborhood",20,339679,"0.87037037037",85,1.7,28.04
"2","Lansdale","Lansdale/Doylestown Line","Town Center",17,56886,"0.91111111111",85,1.35,16.8
"3","Doylestown","Lansdale/Doylestown Line","Town Center",12,32681,"0.77966101695",92,1.6,19.23
"4","Croydon","Trenton Line","Town Neighborhood",16,117854,"1.3571428571",66,1.26,14.38
"5","Media","Media/Elwyn Line","Town Center",23,113827,"1.125",60,1.5,21.12
"6","Willow Grove","Warminster Line","Suburban Center",22,107483,"1.2222222222",84,1.3,17
"7","Gravers Lane","Chestnut Hill East Line","Town Neighborhood",30,286969,"0.64285714286",75,1.3,23.11
"8","Clifton-Aldan","Media/Elwyn Line","Town Neighborhood",24,393671,"1",81,1.15,17.53
"9","Arrott Transportation Center","Market/Frankford Line","Urban Neighborhood",46,465039,"1.4074074074",89,1,14.02
"10","Erie-Torresdale","Market/Frankford Line","Urban Neighborhood",38,492153,"1.3913043478",83,1.2,17.7
"11","Tioga","Market/Frankford Line","Urban Neighborhood",34,515384,"1.3636363636",85,0.92,5.73
"12","Girard","Market/Frankford Line","Urban Neighborhood",48,540528,"1.4285714286",94,1.9,18.64
"13","Logan","Broad Street Line","Urban Neighborhood",39,474890,"1.0322580645",88,1.85,18.66
"14","Olney Transportation Center","Broad Street Line","Urban Neighborhood",49,600593,"1.5652173913",91,0.95,18.15
"15","Bowling Green","Route 101 Trolley","Suburban Neighborhood",25,121141,"0.63793103448",86,1.45,21.92
"16","Entertainment Center","RiverLine","Urban Center",30,577637,"0.71428571429",60,1.4,20.21
"17","Ashland","PATCO","Suburban Neighborhood",18,334152,"1.0526315789",48,1.3,14.87
"18","Narberth","Paoli/Thorndale Line","Town Center",21,430442,"0.75609756098",85,1.85,25.33
"19","Tacony","Trenton Line","Urban Neighborhood",23,383315,"0.97368421053",78,1,8.8
"20","Malvern","Paoli/Thorndale Line","Town Center",16,125803,"1.0483870968",55,1.8,20.08
"21","Fort Washington","Lansdale/Doylestown Line","Suburban Center",14,180499,"0.80281690141",38,1,20.89
"22","Manayunk","Manayunk/Norristown Line","Town Center",19,440900,"1.32",93,1.55,20.56
"23","Overbrook","Paoli/Thorndale Line","Town Neighborhood",39,513277,"0.7027027027",73,1.7,27.95
"24","Spring Mill","Manayunk/Norristown Line","Special District: Business Park",15,274031,"1.4054054054",32,1.85,26.78
"25","Melrose Park","Glenside Combined","Suburban Neighborhood",25,458011,"0.83333333333",32,1.2,18.6
"26","Folcroft","Wilmington/Newark Line","Town Neighborhood",25,443608,"0.92682926829",67,1.1,11.46
"27","Cheltenham","Fox Chase Line","Town Neighborhood",30,233378,"1.0196078431",67,1.1,12.07
"28","Wister","Chestnut Hill East Line","Urban Neighborhood",35,498024,"0.71698113208",68,1.15,15.8
"29","Allegheny","Broad Street Line","Urban Neighborhood",52,588212,"0.83333333333",72,1.11,21.99
"30","Penfield","Norristown High Speed Line","Town Neighborhood",24,294566,"1.1212121212",37,1.28,17.98
"31","North Philadelphia","Trenton Line","Urban Neighborhood",47,636313,"0.68",85,0.95,11.4
"32","Hamilton Avenue","RiverLine","Urban Center",18,120086,"Philly: 0.76, NYC: 1.22",78,2.3,18.75
"33","Palmyra","RiverLine","Town Center",20,107876,"0.77083333333",68,1.4,8.2
"34","Westmont","PATCO","Town Neighborhood",19,425997,"1.1379310345",57,1.5,16.26
"35","Bryn Mawr","Paoli/Thorndale Line","Town Center",17,401464,"1.1463414634",84,1.65,31.1
"36","Bridesburg","Trenton Line","Urban Neighborhood",31,489814,"0.78571428571",77,1.1,17.86
"37","Trenton Transit Center","Trenton Line","Urban Center",26,178396,"1.4583333333",81,1.4,15.84
"38","Prospect Park","Wilmington/Newark Line","Town Neighborhood",20,323089,"0.97222222222",67,1.2,12.89
"39","Lansdowne","Media/Elwyn Line","Town Center",30,481401,"0.73076923077",73,1.15,11.17
"40","Stenton","Chestnut Hill East Line","Town Neighborhood",35,391834,"0.67213114754",62,1.05,15.63
"41","Noble","West Trenton Line","Suburban Center",20,301131,"1.8181818182",76,1.6,21.26
"42","Norristown Transportation Center","Manayunk/Norristown Line","Town Center",24,170624,"1.1224489796",71,1.55,17.83
"43","Chelten Avenue","Chestnut Hill West Line","Town Center",38,509335,"0.7619047619",87,1.4,18.66
"44","Wissahickon Transportation Center","Manayunk/Norristown Line","Urban Neighborhood",31,632326,"1.3181818182",76,1.5,30.94
"45","Germantown","Chestnut Hill East Line","Town Center",40,473506,"0.61818181818",89,1.05,18.08
"46","Washington Lane","Chestnut Hill East Line","Town Neighborhood",32,434578,"0.67796610169",67,1.05,14.84
"47","Tasker-Morris","Broad Street Line","Urban Neighborhood",54,500458,"1.0625",97,0.9,27.73
"48","Ellsworth-Federal","Broad Street Line","Urban Neighborhood",57,518166,"0.8",92,1.5,21.56
"49","Collingdale","Route 102 Trolley","Town Neighborhood",30,215087,"0.72222222222",80,1.1,12.35
"50","Beverly Hills","Route 101 & 102 Trolley Lines","Town Neighborhood",33,457978,"1.1666666667",88,1.3,17.93
"51","Hughes Park","Norristown High Speed Line","Suburban Neighborhood",20,357511,"0.90909090909",40,1.6,24.39
"52","Radnor","Norristown High Speed Line","Special District: Business Park",19,371398,"1",44,1.38,34.83
"53","Bryn Mawr","Norristown High Speed Line","Town Center",21,418715,"1.1463414634",84,1.65,31.1
"54","Beechwood-Brookline","Norristown High Speed Line","Town Neighborhood",24,294566,"1.1176470588",49,1.08,20.36
"55","Ardmore","Paoli/Thorndale Line","Town Center",25,350592,"0.78723404255",93,1.65,24.33
"56","Wynnewood","Paoli/Thorndale Line","Suburban Center",18,381816,"0.76744186047",65,1.6,27.86
"57","Wayne","Paoli/Thorndale Line","Town Center",18,181135,"1.1170212766",88,1.55,26.53
"58","Elkins Park","Glenside Combined","Town Neighborhood",24,421402,"0.89285714286",73,1.2,16.54
"59","Conshohocken","Manayunk/Norristown Line","Town Center",19,171994,"1.125",64,1.75,32.97
"60","Main Street","Manayunk/Norristown Line","Town Center",24,170624,"1.0784313725",84,1.3,17.8
"61","Chestnut Hill West","Chestnut Hill West Line","Town Neighborhood",23,251814,"0.83333333333",85,1.9,20.2
"62","Olney","Fox Chase Line","Urban Neighborhood",37,384719,"1.652173913",91,0.95,10.43
"63","49th Street","Media/Elwyn Line","Urban Neighborhood",46,492815,"0.83333333333",92,1.3,20.09
"64","Fern Rock Transportation Center","Glenside Combined","Urban Neighborhood",47,545908,"1.8965517241",81,1.2,10.43
"65","52nd Street","Market/Frankford Line","Urban Neighborhood",47,552205,"1.6153846154",94,1.25,18.75
"66","York-Dauphin","Market/Frankford Line","Urban Neighborhood",45,565998,"1.1428571429",90,0.8,21.8
"67","56th Street","Market/Frankford Line","Urban Neighborhood",51,555035,"1.7857142857",89,1.4,20.07
"68","60th Street","Market/Frankford Line","Urban Neighborhood",47,517804,"1.75",89,1.35,12.09
"69","Oregon","Broad Street Line","Urban Neighborhood",47,492496,"1.0526315789",91,1.5,26.68
"70","Snyder","Broad Street Line","Urban Neighborhood",49,497868,"1",97,1.8,27.83
"71","Cecil B. Moore","Broad Street Line","Urban Center",51,657358,"0.73684210526",92,1.3,18.91
