"","ID","station","line","operator","type_sym","type","com_lgret_ar","com_mx_ar","edu_ar","pkin_tran_ar","pkin_und_ar","resi_mx_ar","resi_multi_ar","resi_sigle_ar","under_gen_ar","under_trsit_ar","Wood_ar","Agri_ar","geometry","potential"
"1",1,"Gulph Mills","Norristown High Speed Line","SEPTA","NHSL","Light_Rail",0,0,0,4070.06742805966,1142.18203648756,0,57894.3561573245,823737.001572245,19331.5590038768,0,405093.585869888,0,c(-75.3424861854237, 40.0711475087079),424425.144873764
"2",2,"34th Street","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,19523.3713422454,610496.765588119,23333.2154849413,0,0,293945.930512313,0,1277.76553999936,45848.1338631632,0,4097.36104085666,c(-75.1914803689797, 39.9558599404886),51223.2604440193
"3",3,"Race-Vine","Broad Street Line","SEPTA","BSL","Transit_Rail",0,117971.627432901,126661.48074343,497.313882228068,0,18949.5256124913,115905.090732438,0,47349.3563010471,38259.9728504935,0,0,c(-75.1626007024045, 39.9570073675065),85609.3291515406
"4",4,"69th Street Transportation Center","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,45448.3875927222,0,12074.0202173121,0,0,511299.606608454,35911.7769851538,37083.8255218531,2995.27988971883,460455.991717788,0,c(-75.2592801419407, 39.9626282514783),500535.09712936
"5",5,"York-Dauphin","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,56080.1091066041,64795.8503422364,0,1870.68715148458,0,856513.47470216,0,115120.485869527,858.745390115239,0,0,c(-75.132029256055, 39.9854455415063),115979.231259643
"6",6,"63rd Street","Market/Frankford Line","SEPTA","MFL","Transit_Rail",0,65280.980875111,6162.01710534609,0,0,0,949483.194223694,15562.375305682,85877.0623054103,0,438415.863530228,7435.05509121679,c(-75.2466916659295, 39.962711697209),531727.980926856
"7",7,"Princeton","Northeast Corridor","NJ Transit","NJT_NEC","Regional_Rail",0,0,844586.764554735,11021.0903625311,0,0,0,73330.9688240771,30586.4193811258,46064.775196343,207770.5925541,0,c(-74.6587905678081, 40.3420482571669),284421.787131569
"8",8,"9th Street","Lansdale/Doylestown Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,0,14669.1078243574,0,0,343060.087735127,197893.745053697,235581.466882975,0,87641.7312273059,0,c(-75.2789082533634, 40.2502849402086),323223.198110281
"9",9,"NRG","Broad Street Line","SEPTA","BSL","Transit_Rail",0,0,0,0,3289.31701746602,0,177231.816774331,0,98066.0011057335,0,0,0,c(-75.1731899856345, 39.905357494991),98066.0011057335
"10",10,"Olney","Fox Chase Line","SEPTA","SEPTA_RR","Regional_Rail",0,56240.7711353068,56811.6295516096,3022.20923659734,0,0,1000339.71486412,15596.0241794366,6405.06213052868,0,8235.69343874534,5208.70603967451,c(-75.1229644891328, 40.0331226837725),19849.4616089485
"11",11,"Carpenter","Chestnut Hill West Line","SEPTA","SEPTA_RR","Regional_Rail",0,18374.8027881322,22502.6245208188,3284.55617768205,0,0,931555.404918968,450128.943295188,3114.76010404524,0,40107.8869002675,0,c(-75.1916100134362, 40.0509296464183),43222.6470043127
"12",12,"Fox Chase","Fox Chase Line","SEPTA","SEPTA_RR","Regional_Rail",0,32011.9060487909,40351.6662629988,12064.8479499506,0,0,602221.258215845,538057.828751655,11096.8392505946,0,14541.9904563041,0,c(-75.0834888263725, 40.0759612342372),25638.8297068987
"13",13,"Merion","Paoli/Thorndale Line","SEPTA","SEPTA_RR","Regional_Rail",0,0,301966.033377962,1682.72804282668,0,0,41444.0315732078,1531856.99689178,0,0,13076.2688701016,0,c(-75.2514669413763, 39.9975426159874),13076.2688701016
