,ID,station,line,operator,type_sym,type,interchange,agr_area,Com_area,Indu_area,Ins_area,Mil_area,Recre_area,Resi_area,Tran_area,Under_area,Util_area,Water_area,Wood_area,nomx_area,Mix_area,com_lgret_ar,com_mx_ar,edu_ar,pkin_tran_ar,pkin_und_ar,resi_mx_ar,resi_multi_ar,resi_sigle_ar,under_gen_ar,under_trsit_ar,geometry,
1,1,Gulph Mills,Norristown High Speed Line,SEPTA,NHSL,Light_Rail,,0,0,33183.21312,10714.29475,0,650337.6208,881631.3577,46812.36936,32350.44837,1242.730933,2264.280518,405093.5859,2063629.901,0,0,0,0,4070.067428,1142.182036,0,57894.35616,823737.0016,19331.559,0,c(-75.3424861854237, 40.0711475087079)
2,2,34th Street,Market/Frankford Line,SEPTA,MFL,Transit_Rail,,4097.361041,124738.3648,0,871288.6441,0,195102.9302,310329.1202,341736.4987,47125.8994,4771.721291,0,0,1879667.168,19523.37134,0,19523.37134,610496.7656,23333.21548,0,0,293945.9305,0,1277.76554,45848.13386,c(-75.1914803689797, 39.9558599404886)
3,3,Race-Vine,Broad Street Line,SEPTA,BSL,Transit_Rail,,0,731840.9431,26452.39373,500950.2425,0,66504.27646,153863.2385,3043641.286,85609.32915,28715.6496,0,0,4490128.784,147448.5749,0,117971.6274,126661.4807,497.3138822,0,18949.52561,115905.0907,0,47349.3563,38259.97285,c(-75.1626007024045, 39.9570073675065)
4,4,69th Street Transportation Center,Market/Frankford Line,SEPTA,MFL,Transit_Rail,5,0,232560.2934,14510.23697,72459.65698,0,398886.3457,554751.9819,223496.4948,40079.10541,2414.846272,36214.19382,460455.9917,1989232.94,46596.20715,0,45448.38759,0,12074.02022,0,0,511299.6066,35911.77699,37083.82552,2995.27989,c(-75.2592801419407, 39.9626282514783)
5,5,York-Dauphin,Market/Frankford Line,SEPTA,MFL,Transit_Rail,,0,231673.3821,140477.9143,203277.1631,0,80256.66445,862131.2509,2077.086457,120221.6701,1234.499729,0,0,1584094.848,57254.7828,0,56080.10911,64795.85034,0,1870.687151,0,856513.4747,0,115120.4859,858.7453901,c(-75.132029256055, 39.9854455415063)
6,6,63rd Street,Market/Frankford Line,SEPTA,MFL,Transit_Rail,,7435.055091,166749.5586,14510.23697,61868.63618,0,69816.94374,967088.8095,38586.405,85877.06231,0,17370.858,438415.8635,1801290.629,66428.80043,0,65280.98088,6162.017105,0,0,0,949483.1942,15562.37531,85877.06231,0,c(-75.2466916659295, 39.962711697209)
7,7,Princeton,Northeast Corridor,NJ Transit,NJT_NEC,Regional_Rail,,0,11178.36507,0,972202.9192,0,684064.6337,73330.96882,23911.55495,78973.65837,14649.11722,3462.293548,207770.5926,2069544.103,0,0,0,844586.7646,11021.09036,0,0,0,73330.96882,30586.41938,46064.7752,c(-74.6587905678081, 40.3420482571669)
8,8,9th Street,Lansdale/Doylestown Line,SEPTA,SEPTA_RR,Regional_Rail,,0,198027.3736,366869.5392,127852.7288,0,87887.68725,551412.5695,60967.29944,251147.2782,12694.59173,0,87641.73123,1744500.799,0,0,0,0,14669.10782,0,0,343060.0877,197893.7451,235581.4669,0,c(-75.2789082533634, 40.2502849402086)
9,9,NRG,Broad Street Line,SEPTA,BSL,Transit_Rail,,0,73858.83806,0,135416.4928,0,1196317.992,182426.515,1526776.671,101355.3181,6817.798348,101107.6821,0,3324077.308,0,0,0,0,0,3289.317017,0,177231.8168,0,98066.00111,0,c(-75.1731899856345, 39.905357494991)
10,10,Olney,Fox Chase Line,SEPTA,SEPTA_RR,Regional_Rail,,5208.70604,331880.6557,56417.22566,125365.6971,0,62892.23925,1021819.354,307414.3337,6405.062131,0,0,8235.693439,1869398.196,56240.77114,0,56240.77114,56811.62955,3022.209237,0,0,1000339.715,15596.02418,6405.062131,0,c(-75.1229644891328, 40.0331226837725)
